id_imdb,type,name,release_year,release_month,genre
tt28334102,Short,Dunny Derby - The Legend of Derek Dallas & The Underbogs,2024,none,Comedy
tt28355154,Short,Secrets of the Strings Part II,2024,3,Comedy
tt28378179,Short,Critical Candidate,2024,7,Comedy
tt28442285,Short,Apoco-Pilot,2024,1,Comedy
tt28524586,Short,Lockdown,2024,2,Comedy
tt28544839,Short,La Reina del Pop,2024,,Comedy
tt28556278,Short,Bad Guacamole,2024,2,Comedy
tt28555262,Short,The Ballad of an Artist,2024,5,Comedy
tt28595857,Short,Olive Juice,2024,,Comedy
tt28615181,Short,Sweaty Larry,2024,1,Comedy
tt28620768,Short,Hello My Name is Friend-Man,2024,10,Comedy
tt28657452,Short,Ghosted,2024,7,Comedy
tt28655457,Short,Good Luck Nelle,2024,,Comedy
tt28680103,Short,Vexting,2024,8,Comedy
tt28761537,Short,Kingman Stables,2024,,Comedy
tt28781771,Short,Rest Not Assured,2024,,Comedy
tt28787049,Short,Ellie Makes a Friend,2024,none,Comedy
tt28787792,Short,Plotz,2024,1,Comedy
tt28797695,Short,Mamas Love Bird,2024,4,Comedy
tt28798656,Short,Liquor and Life,2024,,Comedy
tt28800127,Short,Slut Chain,2024,none,Comedy
tt29002962,Short,The Wedding,2024,10,Comedy
tt29028242,Short,Sleeping with Demons,2024,2,Comedy
tt29033914,Short,CHOTA DON - AN INTRO FILM,2024,3,Comedy
tt29079745,Short,Y un jamón,2024,none,Comedy
tt29101776,Short,B Word,2024,,Comedy
tt29174854,Short,I Swiped the Wrong One,2024,,Comedy
tt29224270,Short,Fate vs. Elena,2024,none,Comedy
tt29244151,Short,Shit on Your Lip,2024,,Comedy
tt29246431,Short,Life Hacks for Lovers,2024,none,Comedy
